id,title_original,english_title,hungarian_title,video_url,source_equipment_types,inferred_equipment_types,canonical_equipment_types,primary_pattern,secondary_pattern,body_region,impact_level,complexity_level,intensity_estimate,position_type,unilateral_flag,beginner_friendly,session_role_fit,contraindications,home_safe,requires_large_space,requires_partner,requires_gym_setup,advanced_risk,qa_flags,validation_errors,taxonomy_status
106,TRX L fly - TRX L húzás,TRX L fly,TRX L húzás,https://vimeo.com/649967747,trx,trx,trx,mixed_other,,full_body,low,basic,low,standing,no,yes,accessory,,yes,no,no,no,no,equipment_inferred:trx,,validated
107,TRX kneeling rollout - TRX kigördülés térdelésben,TRX kneeling rollout,TRX kigördülés térdelésben,https://vimeo.com/649967717,trx,trx,trx,mixed_other,,full_body,low,basic,low,standing,no,yes,accessory,,yes,no,no,no,no,equipment_inferred:trx,,validated
108,TRX kneeling oblique rollout - TRX kigördülés oldalra térdelésben,TRX kneeling oblique rollout,TRX kigördülés oldalra térdelésben,https://vimeo.com/649967695,trx,trx,trx,mixed_other,,full_body,low,basic,low,standing,no,yes,accessory,,yes,no,no,no,no,equipment_inferred:trx,,validated
109,TRX jump lunges - TRX kitöréből szökkenés,TRX jump lunges,TRX kitöréből szökkenés,https://vimeo.com/649967659,trx,trx,trx,lunge,cardio_locomotion,lower_body,high,basic,high,standing,yes,no,accessory|finisher|main,knee_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
110,TRX I fly - TRX I húzás,TRX I fly,TRX I húzás,https://vimeo.com/649967616,trx,trx,trx,mixed_other,,full_body,low,basic,low,standing,no,yes,accessory,,yes,no,no,no,no,equipment_inferred:trx,,validated
111,TRX hips lifted hamstring curl - TRX sarokbehúzás nyújtott csípővel,TRX hips lifted hamstring curl,TRX sarokbehúzás nyújtott csípővel,https://vimeo.com/649967570,trx,ring|trx,ring|trx,pull,,upper_body,low,basic,medium,standing,no,yes,accessory|main,,no,no,no,yes,no,equipment_inferred:ring|trx|canonical_equipment_differs_from_source|gym_setup_required|excluded_from_home_safe_pool,,validated
112,TRX hip thrust - TRX csipőemelés,TRX hip thrust,TRX csipőemelés,https://vimeo.com/649967541,trx,trx,trx,hinge,,lower_body,low,basic,low,standing,no,yes,accessory|main,lower_back_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
113,TRX hip abduction on elbows - TRX combtávolítás alkartámaszban,TRX hip abduction on elbows,TRX combtávolítás alkartámaszban,https://vimeo.com/649967505,trx,trx,trx,mixed_other,,full_body,low,basic,low,standing,no,yes,accessory,,yes,no,no,no,no,equipment_inferred:trx,,validated
114,TRX hip abduction on hands - TRX combtávolítás fekvőtámaszban,TRX hip abduction on hands,TRX combtávolítás fekvőtámaszban,https://vimeo.com/649967503,trx,trx,trx,mixed_other,,full_body,low,basic,low,standing,no,yes,accessory,,yes,no,no,no,no,equipment_inferred:trx,,validated
115,TRX high-low row - TRX magas-mély evezés,TRX high-low row,TRX magas-mély evezés,https://vimeo.com/649967441,trx,trx,trx,pull,,upper_body,low,basic,medium,standing,no,yes,main,,yes,no,no,no,no,equipment_inferred:trx,,validated
